
Ano,Bairro_oficial,Atendimentos,Pacientes_unicos
Todos os anos,SANTO AMARO,494,26
Todos os anos,SAO LUCAS,51,3
Todos os anos,SAPOPEMBA,1,1
Todos os anos,SAUDE,184,15
Todos os anos,SE,4,1
Todos os anos,TATUAPE,338,6
Todos os anos,TREMEMBE,1,1
Todos os anos,TUCURUVI,72,1
Todos os anos,VILA ANDRADE,385,31
Todos os anos,VILA CURUCA,184,18
Todos os anos,VILA FORMOSA,103,11
Todos os anos,VILA GUILHERME,92,3
Todos os anos,VILA JACUI,21,4
Todos os anos,VILA LEOPOLDINA,610,26
Todos os anos,VILA MARIA,797,44
Todos os anos,VILA MARIANA,13108,473
Todos os anos,VILA MATILDE,96,12
Todos os anos,VILA MEDEIROS,1128,63
Todos os anos,VILA PRUDENTE,211,15
Todos os anos,VILA SONIA,637,33
